,id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,currency,custom_label_1
2,126793278,three-piece patio set,A three-piece patio set that's great for creating the *perfect* outdoor space for a socially distanced spring!,in stock,new,137.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126793278,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/1/asset/5605245003b3/sub-buzz-4652-1617242294-32.jpg?resize=625:625,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
4,126793345,velvet wingback armchair,"A velvet wingback armchair so sophisticated, it'll make even *doomscrolling* feel like an elegant activity.",in stock,new,299.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126793345,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/1/asset/6f785ac13063/sub-buzz-4757-1617242171-1.jpg?resize=625:625,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,cleaning
9,126793588,full-length floor mirror,"A full-length floor mirror to help you test run all the ~looks~ you'll be wearing out once you're fully vaccinated. Bonus points for the fact that this mirror can make any space look larger, in case you're getting cramped after a year+ of lockdown!",in stock,new,156.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126793588,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/22/asset/2a2bd208a383/sub-buzz-237-1617314788-36.jpg?resize=625:625,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
10,126793629,French country style loveseat,"A French country style loveseat that's simply swoon-worthy (and frankly, looks swoon-ready as well).",in stock,new,599.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126793629,"https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/3/asset/ffdaf60237c5/sub-buzz-4860-1617246721-8.jpg?crop=680:612;0,68&resize=625:*",wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
18,126793927,extra long cheeseboard,An extra long cheeseboard for all your family's (or just your own) charcuterie needs. It doubles as dazzling decor for your table.,in stock,new,136.02 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126793927,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/22/asset/17d867cd86ca/sub-buzz-312-1617316723-1.jpg?resize=625:625,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,cleaning
19,126793939,wall-mounted electric fireplace,"A wall-mounted electric fireplace that can heat your space and give off the cozy, romantic energy of a classic fireplace with no construction work or firewood needed!",in stock,new,279.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126793939,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/22/asset/613d46834877/sub-buzz-300-1617317427-2.jpg?resize=625:625,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
24,126797761,two-tiered serving tray,"A two-tiered serving tray that can turn any old coffee and snack break into a tasteful tea party. As the Mad Hatter says, it's always tea time!",in stock,new,89.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126797761,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/18/asset/a3674f59d8a5/sub-buzz-787-1617303006-1.jpg?resize=625:625,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
28,126798004,100% wool pillow,"A 100% wool pillow so fluffy it'll be like having a little lamb to cuddle up to every night, without any of the cleanup or cost of an actual pet lamb.",in stock,new,59.81 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126798004,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/19/asset/1f90543ebcd8/sub-buzz-853-1617304978-15.jpg?resize=625:*,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
30,126798067,round arm settee bench,"A round arm settee bench that brings some serious ~Bridgerton vibes~ to whatever space it inhabits. Seriously, I *burn* for this piece of furniture! Alexa, play Duomo's violin cover of Wildest Dreams by Taylor Swift.",in stock,new,609.99 USD,https://www.buzzfeed.com/danicreahan/splurge-worthy-things-wayfair-reviewers-love?origin=nofil#126798067,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/19/asset/84b77a9f68f9/sub-buzz-872-1617305531-3.jpg?resize=625:*,wayfair,danicreahan/splurge-worthy-things-wayfair-reviewers-love,USD,fast fashion
,id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,currency,custom_label_1
0,126795589,bonded leather office chair,"A bonded leather office chair for anyone who has started hearing themselves go ""oof!"" after getting off the sofa. If you're old enough to make sounds after sitting, you deserve (and probably need) a chair this cute and comfy!",in stock,new,109.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126795589,https://img.buzzfeed.com/buzzfeed-static/static/2021-04/1/14/asset/1f90543ebcd8/sub-buzz-359-1617288442-11.png,officedepot,malloryannp/practical-purchases-youll-love-having-around,USD,fast fashion
2,126776792,Tuft & Needle pillow,"A Tuft & Needle pillow designed with a complex foam formula that's gonna be be cool, breathable, soft, and supportive while you snooze. These days you seem to regret every nap you refused to take as a child.",in stock,new,67.5 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776792,https://img.buzzfeed.com/buzzfeed-static/static/2018-11/15/11/asset/buzzfeed-prod-web-01/sub-buzz-14691-1542298960-8.jpg?resize=625:521,tuftandneedle,malloryannp/practical-purchases-youll-love-having-around,USD,fast fashion
4,126776850,Always Pan,"An Always Pan designed with a slippery nonstick surface, a vented top, a steaming basket, and a wooden spoon that hooks onto the handle. Owning kitchen tools that are both beautiful and functional? That'll be a treat.",in stock,new,145.0 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776850,https://img.buzzfeed.com/buzzfeed-static/static/2020-10/21/20/asset/6559ab68ee86/sub-buzz-4103-1603310767-9.png?resize=625:452,fromourplace,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
7,126776892,moisture meter,"A moisture meter you can place deep down into the soil to know exactly how much water your plant is getting. Under- and overwatering is a thing of the past, people!",in stock,new,11.97 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776892,https://img.buzzfeed.com/buzzfeed-static/static/2020-10/20/17/asset/98b26e9effa4/sub-buzz-1843-1603214649-2.png?resize=625:*,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,"cleaning,fast fashion"
9,126776923,sonic toothbrush,"A sonic toothbrush with multiple brushing modes to support different oral care needs, a timer to make sure you're brushing as long as you should, and (for you charcoal powder fans) *actual* charcoal bristles that safely remove stains while scrubbing your pearly whites.",in stock,new,69.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776923,https://img.buzzfeed.com/buzzfeed-static/static/2020-09/14/19/asset/0d00c66f0935/sub-buzz-7247-1600112209-1.png?resize=625:*,burstoralcare,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
10,126777451,iridescent vase,"An iridescent vase for improving your rental's dreary bathroom by filling it with things made by people who actually know how to successfully DIY. Etsy, you're an angel.",in stock,new,45.86 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126777451,https://img.buzzfeed.com/buzzfeed-static/static/2021-02/1/18/asset/8fa52cb1b302/sub-buzz-7510-1612204182-22.jpg?resize=625:625,etsy,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
11,126776626,acacia wood chef's board,"A stunning acacia wood chef's board that can be used as a prep station, cutting board, or serving board. Cost-effective end-grain wood in a patchwork pattern? That's what's cooking!",in stock,new,38.38 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776626,"https://img.buzzfeed.com/buzzfeed-static/static/2019-05/2/15/asset/buzzfeed-prod-web-05/sub-buzz-28914-1556824515-1.jpg?crop=1000:1225;0,226&resize=625:*",Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,"cleaning,fast fashion"
14,126776631,powder polish,A powder polish for giving your kitchenware a well deserved scrub after you watch Beauty and the Beast with your kid and start feeling guilty about the condition of your own flatware friends.,in stock,new,7.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776631,https://img.buzzfeed.com/buzzfeed-static/static/2021-03/29/20/asset/99b1908a9889/sub-buzz-374-1617050639-23.png?resize=625:*,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
15,126776633,peel-and-stick wallpaper,"A peel-and-stick wallpaper that'll brighten up your home with its marvelous, Mediterranean tile touch. Adults love a backsplash. They love it.",in stock,new,25.3 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776633,https://img.buzzfeed.com/buzzfeed-static/static/2020-02/19/18/asset/506ccce6f878/sub-buzz-282-1582138497-9.jpg?resize=625:625,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
17,126776637,catnip,"A mounted cat scratcher — throw some catnip on this and it'll quickly become a preferred scratcher for your cat, saving your expensive furniture from Sassy's wrath. Being able to have a cat and a leather sofa? What a concept!",in stock,new,26.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776637,https://img.buzzfeed.com/buzzfeed-static/static/2019-05/2/15/asset/buzzfeed-prod-web-02/sub-buzz-30569-1556827044-4.png,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
18,126776638,distressed rug,"A colorful distressed rug for realists who want a lovely rug designed for the slips, stains, and spills that happen when you let your family actually live in the living room.",in stock,new,155.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776638,https://img.buzzfeed.com/buzzfeed-static/static/2020-02/13/22/asset/bb9d79a213d4/sub-buzz-438-1581633161-1.jpg?resize=625:625,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
20,126776639,aromatherapy spray,An aromatherapy spray that'll soothe your senses and help you fall asleep if you're prone to stay up counting your worries rather than counting sheep.,in stock,new,29.0 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776639,https://img.buzzfeed.com/buzzfeed-static/static/2020-04/2/16/asset/931d4edaf7e4/sub-buzz-714-1585843812-10.jpg,Anthropologie,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
21,126777719,airtight storage container set,"An airtight storage container set – it's gonna make organizing your food clearly a cinch. If snacks are easy to find, hanger stays at bay! That's science.",in stock,new,37.94 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126777719,https://img.buzzfeed.com/buzzfeed-static/static/2021-02/16/16/asset/8693f7f125cf/sub-buzz-130-1613494352-20.png?resize=625:*,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
22,126777663,Hoof healer foot balm,"Hoof healer foot balm for nourishing dry, cracked, and callused feet. We're not ~horsing~ around — if your feet are no longer as soft as a baby's bottom...this stuff works!",in stock,new,8.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126777663,https://img.buzzfeed.com/buzzfeed-static/static/2021-03/17/21/asset/022039898d8b/sub-buzz-192-1616016147-18.jpg?resize=625:625,etsy,malloryannp/practical-purchases-youll-love-having-around,USD,skincare
24,126776644,cordless Dyson vacuum,A cordless Dyson vacuum because cleaning without this thing sucks — you won't realize what a chore vacuuming was until you have this in your life forever.,in stock,new,295.0 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776644,https://img.buzzfeed.com/buzzfeed-static/static/2019-05/2/15/asset/buzzfeed-prod-web-03/sub-buzz-15579-1556826739-7.png?resize=625:467,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
26,126776645,vertical shoe tower,A vertical shoe tower sure to have your entryway looking organized and elevated.,in stock,new,59.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776645,https://img.buzzfeed.com/buzzfeed-static/static/2020-02/13/20/asset/86737002dfe3/sub-buzz-263-1581625870-1.jpg?resize=625:625,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,"cleaning,fast fashion"
27,126776647,metal planter,A metal planter that'll get so many compliments you'll love having them around your place.,in stock,new,19.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776647,https://img.buzzfeed.com/buzzfeed-static/static/2020-02/19/19/asset/7cbde0618b40/sub-buzz-274-1582139134-13.jpg?resize=625:*,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,"cleaning,fast fashion"
28,126776649,bar cabinet,"A bar cabinet to proudly show that you are old enough to drink, afford, and display alcohol in your home.",in stock,new,1998.0 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776649,https://img.buzzfeed.com/buzzfeed-static/static/2021-03/29/21/asset/5605245003b3/sub-buzz-397-1617051988-6.jpg?resize=625:*,"Anthropologie,Amazon",malloryannp/practical-purchases-youll-love-having-around,USD,"cleaning,fast fashion"
29,126776652,four-slice toaster,A too-cute four-slice toaster you're gonna love if serving your whole family at once keeps you from being ~toast~ in the morning rush to work and school.,in stock,new,69.95 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776652,https://img.buzzfeed.com/buzzfeed-static/static/2020-04/3/16/asset/dade895836f3/sub-buzz-344-1585931530-1.jpg,wayfair,malloryannp/practical-purchases-youll-love-having-around,USD,fast fashion
30,126776651,outlet lights,"A pair of outlet lights so you can have your rooms shine even at nighttime, without bulky night lights taking up space.",in stock,new,20.96 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776651,https://img.buzzfeed.com/buzzfeed-static/static/2020-02/13/21/asset/4d81e9a5503c/sub-buzz-285-1581628233-1.jpg?resize=625:*,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
31,126776654,ceramic essential oil diffuser,"A hand-crafted ceramic essential oil diffuser that'll cover up the smell of your bulldog (who is definitely not supposed to be your roommate) and help you breathe easy when your landlord comes over and says, ""That's a dog...gone beautiful diffuser you have there!""",in stock,new,119.0 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776654,https://img.buzzfeed.com/buzzfeed-static/static/2021-03/29/21/asset/ffdaf60237c5/sub-buzz-424-1617052453-15.jpg?resize=625:625,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
32,126776656,linen futon,"A linen futon in a cheery mustard yellow that's sure to have you thinking, ""Well color me impressed!"" every time you step into your living room and see the prime palette you've put together.",in stock,new,295.0 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776656,https://img.buzzfeed.com/buzzfeed-static/static/2019-11/6/18/asset/67a94f98c2f6/sub-buzz-5133-1573064798-1.jpg?resize=625:417,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,"cleaning,fast fashion"
33,126776657,shirt folder,A shirt folder that'll give you perfectly crisp and beautifully folded shirts that'll bring a tear to your type-A father's eye when he comes to visit.,in stock,new,16.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776657,https://img.buzzfeed.com/buzzfeed-static/static/2019-05/2/16/asset/buzzfeed-prod-web-02/sub-buzz-30833-1556827271-1.png?resize=625:680,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,"cleaning,fast fashion"
34,126776658,table runner,A table runner for any baseball fans who have grown to want home decor that's a home run(ner).,in stock,new,19.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776658,https://img.buzzfeed.com/buzzfeed-static/static/2019-05/2/18/asset/buzzfeed-prod-web-05/sub-buzz-8828-1556834817-1.jpg?resize=625:625,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,"cleaning,fast fashion"
35,126776659,cleaner and vacuum,A power scrubbing cleaner and vacuum that's gonna be the laundry day your carpet deserves after it has lived through house-training your terrier...and your toddler.,in stock,new,129.0 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776659,https://img.buzzfeed.com/buzzfeed-static/static/2021-03/29/21/asset/5605245003b3/sub-buzz-431-1617052649-1.png,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
36,126776660,six foot blanket ladder,A six foot blanket ladder — a practical piece that's sure to step-up your decor game.,in stock,new,78.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776660,https://img.buzzfeed.com/buzzfeed-static/static/2020-04/3/17/asset/cc5e26208427/sub-buzz-548-1585935504-1.jpg,wayfair,malloryannp/practical-purchases-youll-love-having-around,USD,skincare
37,126776661,motion-sensor trashcan,"A motion-sensor trashcan so top-of-the-line, you're gonna wonder if your trash lives in a better place than you do.",in stock,new,148.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776661,https://img.buzzfeed.com/buzzfeed-static/static/2019-05/2/16/asset/buzzfeed-prod-web-01/sub-buzz-29758-1556829427-1.png?resize=625:621,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
38,126776663,stainless-steel cleaner,"A stainless-steel cleaner that'll wipe up grease, stains, and fingerprints faster than you're able to say ""cleaning the sink sucks."" Turns out, it doesn't with this stuff.",in stock,new,16.97 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776663,https://img.buzzfeed.com/buzzfeed-static/static/2021-03/29/21/asset/57218ec5150e/sub-buzz-448-1617052944-1.png,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,cleaning
39,126777495,orb chandelier,An orb chandelier for modern design-minded folks who want a statment piece that really lights up a room.,in stock,new,159.99 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126777495,https://img.buzzfeed.com/buzzfeed-static/static/2021-03/17/15/asset/a049ab2703e1/sub-buzz-9786-1615995115-17.jpg?resize=625:625,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,"cleaning,fast fashion"
40,126776665,pimple patches,"A pack of pimple patches, because you can't run as fast as when you were as a teenager, but with these you can at least get rid of zits faster.",in stock,new,12.5 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776665,https://img.buzzfeed.com/buzzfeed-static/static/2019-05/2/16/asset/buzzfeed-prod-web-02/sub-buzz-32648-1556828594-1.jpg?resize=625:625,Amazon,malloryannp/practical-purchases-youll-love-having-around,USD,"cleaning,fast fashion,skincare"
41,126776667,huggable heating pad,"And finally, a huggable heating pad that'll help you out when adulthood feels like pain in the neck and you need a friendly face to get you through.",in stock,new,14.0 USD,https://www.buzzfeed.com/malloryannp/practical-purchases-youll-love-having-around?origin=nofil#126776667,"https://img.buzzfeed.com/buzzfeed-static/static/2021-03/29/21/asset/8d9dd995c7fa/sub-buzz-437-1617053115-17.jpg?crop=538:657;0,152&resize=625:*",Urban Outfitters,malloryannp/practical-purchases-youll-love-having-around,USD,fast fashion
,id,title,description,availability,condition,price,link,image_link,brand,custom_label_0,currency,custom_label_1
0,126789816,Classic ripped skinny jeans,"Classic ripped skinny jeans that are sure to become your next go-to. These would go great with a fancier blouse for a night out but reviewers swear they're super comfortable, so they're also perfect for every day.",in stock,new,69.5 USD,https://www.buzzfeed.com/christinaenrico/stylish-things-from-levis?origin=nofil#126789816,https://img.buzzfeed.com/buzzfeed-static/static/2021-03/31/17/asset/3b471616b3f4/sub-buzz-3771-1617211763-32.jpg?resize=625:660,"Levi,levi",christinaenrico/stylish-things-from-levis,USD,fast fashion
1,126790084,trucker jacket,"A trucker jacket because denim jackets are seriously a wardrobe staple. It can be dressed up or down and worn almost any time of the year (ie: breezy spring afternoons, slightly chilly fall outings, cool summer nights, weirdly warm winter days, etc...)",in stock,new,98.0 USD,https://www.buzzfeed.com/christinaenrico/stylish-things-from-levis?origin=nofil#126790084,https://img.buzzfeed.com/buzzfeed-static/static/2021-03/31/18/asset/8d9dd995c7fa/sub-buzz-3886-1617213738-2.jpg?resize=625:786,"Levi,levi",christinaenrico/stylish-things-from-levis,USD,fast fashion
2,126790796,Straight leg jeans,Straight leg jeans that are versatile enough to pair with heels and a nice top for date night but also go great with sneakers for something a lil' more casual.,in stock,new,98.0 USD,https://www.buzzfeed.com/christinaenrico/stylish-things-from-levis?origin=nofil#126790796,https://img.buzzfeed.com/buzzfeed-static/static/2021-03/31/19/asset/8d9dd995c7fa/sub-buzz-4012-1617218517-14.jpg,"Levi,levi",christinaenrico/stylish-things-from-levis,USD,fast fashion
